nome,descricao,preco,quantidade,categoria,sku,gtin,ncm,imagem
"Smartphone Samsung Galaxy A54 5G","Smartphone Samsung Galaxy A54 5G, 128GB, 8GB RAM, Tela 6.4"", Câmera Tripla Traseira + Selfie 32MP, Dual Chip, Android 13",1899.90,25,Smartphones,SM-A546E-128,7892509122344,85171231,https://images.samsung.com/is/image/samsung/p6pim/br/sm-a546ezkeztm/gallery/br-galaxy-a54-5g-sm-a546-sm-a546ezkeztm-535868868
"Notebook Dell Inspiron 15","Notebook Dell Inspiron 15 3000, Intel Core i5-1135G7, 8GB RAM, SSD 256GB, Tela 15.6"" Full HD, Windows 11",3499.90,15,Notebooks,DL-I15-3511-I5,7899864532156,84713012,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/notebooks/inspiron-notebooks/15-3511/media-gallery/in3511-cnb-00055lf110-bk.psd
"Smart TV LG 50"" 4K UHD","Smart TV LG 50"" 4K UHD, 50UQ8050, 60Hz, WiFi, Bluetooth, HDR, 3 HDMI, 2 USB, Inteligência Artificial ThinQ AI",2599.90,10,TVs,LG-50UQ8050,7893299876543,85287200,https://www.lg.com/br/images/tv/md07529606/gallery/medium01.jpg
"Fone de Ouvido JBL Tune 510BT","Fone de Ouvido Bluetooth JBL Tune 510BT, On Ear, com Microfone, Preto, Conexão Multipoint",249.90,50,Áudio,JBLT510BT-BLK,7892265098765,85183000,https://www.jbl.com.br/dw/image/v2/AAUJ_PRD/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw9f9b4b93/JBL_Tune_510BT_Product%20Image_Hero_Black.png
"Câmera Digital Canon EOS Rebel T7+","Câmera Digital Canon EOS Rebel T7+ com Lente 18-55mm, 24.1MP, Gravação Full HD, Wi-Fi, NFC",3299.90,8,Câmeras,CAN-EOST7-KIT,8714574656458,90066100,https://www.canon.com.br/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/c/a/camera-dslr-canon-eos-rebel-t7-com-lente-18-55mm-f-3.5-5.6-is-ii_1.jpg
"Impressora Multifuncional HP DeskJet 2774","Impressora Multifuncional HP DeskJet 2774, Jato de Tinta, Colorida, Wi-Fi, USB, Bivolt",399.90,20,Impressoras,HP-DJ2774,1957364829105,84433111,https://images.kabum.com.br/produtos/fotos/sync_mirakl/164449/Impressora-Multifuncional-HP-DeskJet-Ink-Advantage-2774-Jato-De-Tinta-Colorida-Wi-Fi-USB-Bivolt-7FR22A_1628879572_gg.jpg
"Console PlayStation 5 Sony","Console PlayStation 5 Sony, 825GB SSD, Controle DualSense, Branco",4499.90,5,Games,SONY-PS5-825,7111940284756,95045000,https://gmedia.playstation.com/is/image/SIEPDC/ps5-product-thumbnail-01-en-14sep21
"Ar Condicionado Split Inverter Electrolux 12000 BTUs","Ar Condicionado Split Inverter Electrolux 12000 BTUs, Frio, Função Siga-me, Função Turbo, 220V",1899.90,12,Eletrodomésticos,ELUX-QI12F,7896584764321,84151011,https://electrolux.vtexassets.com/arquivos/ids/219283/Ar-Condicionado-Split-Inverter-Electrolux-12.000-BTUs-Frio-QI12F.jpg
"Tablet Samsung Galaxy Tab S8","Tablet Samsung Galaxy Tab S8, 11"", 128GB, 8GB RAM, Wi-Fi, Android 12, Câmera Traseira 13MP + 6MP, Frontal 12MP",3999.90,10,Tablets,SM-X700-128,7892509112345,84713019,https://images.samsung.com/is/image/samsung/p6pim/br/sm-x700nzaazto/gallery/br-galaxy-tab-s8-x700-sm-x700nzaazto-530765123
"Smartwatch Amazfit GTR 3 Pro","Smartwatch Amazfit GTR 3 Pro, Tela AMOLED 1.45"", GPS, Bluetooth, 150+ Modos Esportivos, Monitor Cardíaco",1299.90,15,Wearables,AMZ-GTR3PRO,6972596102090,85171300,https://d2r9epyceweg5n.cloudfront.net/stores/002/043/112/products/amazfit-gtr-3-pro-marrom1-c3a3a0b3a3a9a5a9a016349096232871-1024-1024.jpg
